site	CL	Q	A
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
온양	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
온양	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
온양	CL3	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
화성	CL2	Q2.	대인관계 : 동료, 상급자, 하급자 사이의 인간 관계의 문제, 또는 업무 스타일의 차이.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
화성	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
화성	CL4	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
화성	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
화성	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
화성	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL3	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL2	Q2.	근무 환경 : 열약한 근무환경, 근무지로 인한 불가피하게 긴 통근거리 등.
온양	CL4	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL4	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
온양	CL3	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL3	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL4	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
온양	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
온양	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL4	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
온양	CL3	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
온양	CL4	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
온양	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL4	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	성장기회 : PE팀 내에서의 성장기회가 없거나 열악하다. 교육, 파견, '교육보다는 업무' 분위기 등
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL3	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL3	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL4	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
온양	CL3	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL2	Q2.	직무별, 프로젝트별 업무 강도 차이 : PJT별 다른 업무량에 대한 상대적 박탈감, 그에 대한 보상의 불투명성 등.
화성	CL3	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
온양	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL3	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
온양	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
온양	CL3	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
온양	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL2	Q2.	업무적성 : 업무에서 재미를 느끼지 못하거나, 통제감과 자율성 부족, 배치된 업무와 적성이 맞지 않음.
화성	CL4	Q2_	.
화성	CL4	Q2_	원류 부서가 아니다 보니 잡일이 엄청나게 많다.
화성	CL4	Q2_	.
화성	CL4	Q2_	업무(기술) 정의가 명확하지 않음, 중요하고 항상(꼭) 해야하는 PE 고유 일이지만 인정 못받는 경우가 있음. 기존의 구체적인 Tech ladder가 없다 보니 배치 운에 따라 달라짐.
온양	CL4	Q2_	회사로부터 충분한 지원을 받고 있지 않다
화성	CL4	Q2_	.
화성	CL4	Q2_	직무 선택의 기회 : 온양/화성Site,  개발/양산제품, WF/PKG업무,  선택을 할 수 없고, 이동 또는 전환 하기도 쉽지 않다.
화성	CL2	Q2_	.
온양	CL2	Q2_	강압적인 세미나
화성	CL2	Q2_	없습니다.
온양	CL3	Q2_	직급을 내세우며 동료직원(후배)에게 막대하거나 후배들의 의견을 전혀 듣지 않는 문화가 있으며, 이를 아는 리더들도 자신의 위치(년차)와 비슷하다보니 전혀 문제삼지 않는 문화가 팽배하다.
화성	CL4	Q3	업무스타일차이, 스트레스, 책임>권한 등
화성	CL2	Q3	1) 프로젝트별로 업무강도가 차이나는데, 고과는 PJT별 상대평가이다.  2) 조직문화 : 얼마나 했는지보다 상급자가 있을 때 자리에 앉아 있는 게 더 중요하다. 3) 부족한 보상 : 일 받을 때부터 고과 정해진 느낌
온양	CL4	Q3	"개발에 업무 로드가 많은 건 이해가 되지만, 양산성으로 PE팀이 일하고 공은 제조나 운영에서 챙기는 구조가 있는데 아무도 문제 삼지 않는 것이 PE팀 내는 개발이 더 중요하다고 보기 때문 아닐까 싶다.

그래서 고과 배분이 낮아도 이해가 된 부분은 누군가에게는 배신과 상처라는 생각이 강하다.

리얼로 얘기하면 팀장님은 양산성 확보 업무에 관심이 없다. 

양산성 달성해도 전체 메일은 한번도 못 봤으나, 개발 달성하면 메일을 쓰고 회식도 하고... 

팀이 회사 기여도 가 큰 부분인데..."
화성	CL4	Q3	"1) 부족한 보상 : 모제품 담당 엔지니어 대비 자제품, 이전 공정 제품 담당자들에 대한 보상의 차이가 개개인의 자존감과 소속감에 영향을 주는 것으로 생각이 된다.

2) 조직문화 : 아직도 업무가 최우선임. 윗 선으로 갈수록 긴급한 업무가 있거나 중요한 회의가 있으면 밤 새워서라도 해야한다는 인식이 있으며, 이런 부분을 발언하는 것은 자발적 참여를 유도하기 보다는 강요성이 있다고 본다.

3) 팀의 위상 : 양산, 생산의 중요도 대비 엔지니어링의 중요도는 떨어짐. 엔지니어링 환경을 만들기 위해 관련부서에 하는 요청, 설득, 협의 등 소모되는 에너지도 상당하게 큼. 엔지니어링에 대한 팀별 투자의 차이도 차별로 느낌."
화성	CL4	Q3	"팀의 위상이 예전보다 나아지긴 하였으나 어느 정도 한계가 있는 것으로 보임

: 원류 부서가 아님"
화성	CL2	Q3	"1) 업무강도차이 : 동일한 연차임에도 특정 PJT 혹은 EDS/PKG Engr. 별의 업무강도 차이가 심하다.

2) 성장 기회 : 인력 부족으로 본인이 빠졌을 때 눈치 보이기 때문에 교육가기가 어렵다."
온양	CL2	Q3	1. .
화성	CL3	Q3	". 관리영역이 넓고, 문제발생시 PE팀이 해결해야만 하는 업무 분위기

. 관리자와 엔지니어의 소통 부재 ( 말로 하는 소통이 아닌 실재 소통이 이루어져야함 )"
온양	CL2	Q3	1)업무 적성 : 이 업무가 적성이 맞는가 고민하게된다. 업무가 순탄하게 안흘러간다. 2)부족한 보상 :  TP에서 근무하면 양산업무가 많은데 보상이 부족한거 같아 이적 갈등이 생깁니다.
화성	CL4	Q3	다른 부서를 가 본적이 없어서 잘 모르겠지만, PE팀들이 전통적으로 일이 많다고 소문이 많이 나서 별로 인기가 없다고 했다.  근데 이정도를 일이 많다고 하면, 다른 부서들은 정말 일을 엄청나게 안하는것 같긴한데, 같이 협업하는 대외부서를 봐도 PE만큼 바쁘게 또는 열심히 사는 부서는 못 본것 같기도 하다.
화성	CL2	Q3	"1)조직문화 : 눈치성 야근 존재, 출근시간은 생각하지 않고 일찍 퇴근하면 일 안한다고 생각함(7시 출근자와 9시 출근자가 동일 시간을 근무해도 후자가 더 열심히 늦게까지 업무한다고 인식함)

2)성장기회 : 교육 간다고 하면 일단 눈치를 줌(꿀 빨러 가냐 등), 업무 관련해서 교육을 제대로 받은적이 없고 항상 선배들에게 물어보거나 옆에서 하는 걸 보며 배움(선배들이 바빠서 제대로 가르쳐 주지 못하는 환경은 인정하고 있음, 그럼 팀 내부적으로 체계적으로 교육 해줬으면 좋겟음.)

3)팀의위상 : 일단 PE팀이 다 하겟다고 함(타부서 업무까지 가지고 오는 느낌). 사고는 다른곳에서 내고 처리는 우리가 항상 함, 책임도 뭐든 우리가 짐 그리고 물량 진행 등에 문제가 생기면 일단 PE팀에게 다들 연락 옴"
화성	CL2	Q3	형식적인 메뉴얼 업무로 인해 시간소비가 심합니다.
온양	CL3	Q3	상하간 소통부족, 나만 잘살면된다는 마인드가 강함(서로 키워주고자하는 의지 없음, 특히 제품 외 PJT), 근무환경 열악한것도 사실(근무지 온양),열심히 했지만 성과는 결국 타팀한테 먹히는 성과 관리 부재(MURO 등)
화성	CL2	Q3	대감집 노예라는 말이 제일 어울리는 부서 같습니다. 개발실 소속인데 힘이 없어서, 항상 을이에요. 뭐 해달라고 하면 넙죽 다 해주고,, 가끔 팀 정체성이 의심 됩니다.
화성	CL2	Q3	"1) 일이 너무 많은 것 같다

2) 대인관계가 쉽지않다

3) 어떤 업무인지 잘 와닿지가 않는다"
화성	CL2	Q3	"성장기회 : PE팀 업무의 특성은 DRAM 개발과 관련된 모든 업무에 두루두루 잘 한다 -> 반대로 얘기하면 뭐 하나 뚜렷하게 하는게 없다

근무환경 : 핵심 인력에게 일이 몰림 -> 최근 제품이 매우 많이 생겨, 기존에 추구하던 조직 문화처럼 제품별 TL 밑에 각 제품 담당 인원이 줄어든 이유가 크다고 생각함"
화성	CL4	Q3	"팀의위상 :  원류부서 대비 존재감 적음

성장기회 : 교육에 대한 인식 부족, 예기치 않는 긴급 대응 업무가 항상 많음

업무강도 : EDP 제품, 특히 모제품 탈탈 털림"
화성	CL4	Q3	p
화성	CL4	Q3	"1) 직무별 : PTL 성향에 따라 업무 강도 차이가 심함. 어떤 PTL 은 우선순위 높은 업무 위주로 진행해서 야근이 적은 반면, 어떤 PTL 은 모든 업무를 진행하려고 하다 보니 야근도 많고 스트래스도 많아 불만이 생김.

2) 부족한 보상 : 개발실 소속이다 보니 제품 담당자들에 비해 소프트웨어 개발 인력이 소외를 받는 부분이 많아 보임."
화성	CL2	Q3	다양한 부서와의 협업에서 을의 입장인 부분이 조금 있는 것 같습니다.
화성	CL3	Q3	"1. 대인관계 (인맥) : 누굴 만나서 서로 끌어주냐에 따라서 진급  , 중요하고 진급할수 있는 업무 배분을 받음.  ( 업무능력이 엄청 크게 차이나지 않다고 생각)

 . 대인관계 (관리 업무)  :  매니징 업무가 고과 및 진급에 유리함.   아래사람 모아서 영향력 보이고  경쟁자를 왕따 시킴 (주로 커피, 차, 점심 식사로 이용)

                                            윗 사람이 하면, 아랫사람도 똑같이 그 문화 받아서 따른는 경향 ( 대표자 ,  이주훈-> 선두안 -->  여기까지만.   )

2. 부족한 보상 (이미지 관리) : 발표 하는 사람 , 상타는 사람   거의 비슷한것 같음.   중요 업무 (임원분과 함께하는 업무),  그렇지 않게 업무하는 사람은 상대적 박탈감

3.  업무적성 : 위사람에 스타일에 따라 다름 ( 시키면 말없이 해야 인정 받음,   자기 주장 강하면  인정 못 받음.)"
온양	CL3	Q3	"OO의 요청으로 다음 주까지 OO 제품 PGM 긴급 개발 필요함."  (개발 완료 후) "개발 완료된 PGM은 당장 대응 필요 없어졌으니 다음에 사용하고 다른 업무 대응하도록!" 와 같은 상급자의 업무 지시가 가끔 존재하고, 비전 공유 없이 이슈 해결에 업무가 집중되어 장기적인 성장 방향에 대한 고민이 부족. (수많은 Process가 개발되었으나 5,10,15년 전 업무 대비 업무 방식에 대한 개선은 못 느낌) 개인/부서 간 개인주의/이기주의. 부서/개인 간 교류 부족.
화성	CL3	Q3	모공정 모제품, 하는 사람만 계속 하는 것 같습니다.
화성	CL2	Q3	말 그대로 양산 업무 자체가 굉장히 긴급하고 타 부서 대응 시 부탁하는 입장이 될 수 밖에 없어서 스트레스도 많이 받는 업무인데 당연시 하게 여기는 문화때문에 양산 제품의 업무들은 신규제품에 비해 크게 인정받지 못하는 것 같습니다.
온양	CL3	Q3	DSR건물과 비교되는 사무 환경, 식당과 사업장 위치
화성	CL4	Q3	고성과자 중심으로 각종 성장기회가 부여되어, 저성과자와 중간그룹은 기회 자체가 원천 차단되어 의욕 자체 마저 꺽임
화성	CL4	Q3	"- 양산 업무 : 원할한 업무 수행을 위한 역량 확보까지 다양한 기술을 익혀야 하고 많은 시간이 소요되는 것 대비 기술적으로 인정 받기가 상대적으로 어렵다. 당연히 하는 업무로 인식됨.

- 팀의 위상 : 제품의 설계/공정 개발 완성도가 떨어지는 상황에서  PE의 기술로 PRA확보~양산까지 주도적으로 이끌어 가는 것 대비  포상, 진급(임원)에서 낮은 평가를 받음."
화성	CL2	Q3	조직내 인원이동이 잦다 보니까 인력들이 자주 변동이 있고 빠져나가서 한사람에게 업무가 집중되는 경향이 있다.
화성	CL4	Q3	"1) 모제품 개발 참여 - 힘들지만, 상위 포션은 많은 거 같은데.. 그래도 평고과 받으면.. 난 뭐지?

2) 온양 근무 회피

3) 모든 일을 대응하고 마지막 정리도 PE가..."
화성	CL2	Q3	"1) 성장 기회 : 얕고 넓은 직무에 따른, 상대적인 전문성 부족

2) 팀의 위상 : 이걸 왜 PE팀한테..? , 타부서와 R&R 정립 시 항상 피해를 보는 느낌"
온양	CL3	Q3	6)팀의 위상 : 개발과 양산의 접점에 위치하면서, 어쩌면 가장 대우를 많이 받아야 하는 팀임에도 항상 책임과 뒷처리는 우리의 몫...
온양	CL2	Q3	"부족한 보상은 말 그대로 양산업무는 base로 속하게 때문에 시간이 많이 걸리는 일은 피하고 싶습니다.

성장기회. 교육을 받으러 갈 때 자유로운 분위기가 아니라 어떠한 목적을 가지고 받으러가기 떄문에 꺼려짐. 또한 교육 조차 많이 없음.

직무별, 프로젝트별 업무 강도 차이 부족한 보상과 마찬가지로 개발과 양산에서 업무 성과는 개발쪽으로 가게 때문에 불리한 느낌이 듭니다."
온양	CL4	Q3	1)근무환경 : 주업무가 특성분석, 불량분석, Test coverage개발등임에도 업무에 필수 infra 분석설비가 부족으로 분석설비 자원 확보 보다 적극적인 지원이 필요합니다
화성	CL2	Q3	워라밸 부족
화성	CL3	Q3	일과시간에 최대한 빨리 처리해도 야근시간이 적으면 업무가 적은것으로 굳게 매우 굳게 믿는 평가자들은 절대 바뀌지 않는다 절대로...
온양	CL4	Q3	"PE팀의 경우 기본적으로 제품 개발 및 양산관련 업무가 기본이자 base인데 연구반 신설에 따른 인원 차출되고 있고 연구반의 업무강도가 개발/양산보다 절대 높다고 볼수도 없습니다.

그리고, 연구반의 업무가 양산의 도움이 필요하거나 양산에서 확보된 data를 가지고 분석하는 case가 많아, 결국 개발/양산 담당하는 PJT 인원들의 업무량은 인원 차출과 별도로 연구반 지원업무까지 떠맡게 된다는 시각도 있습니다.

또한, 양산의 sustain 업무를 배제하고 연구만 하는 인원들에게 더 많은 분석기회나 장비 할당이 주어지는 경우도 많고, 연구한 결과가 양산에 적용되지 않는 것이더라도 성과로 포장되어 수상이나 성과 보상을 받는 경우를 많이 접하고 있습니다."
화성	CL3	Q3	양산은 개발에 비해 인정 못받는 느낌
온양	CL2	Q3	"1) 긴급 업무가 많다보니 야근을 많이 함. 일이 양도 많은듯 합니다.

2) 양산 담당 엔지니어의 부담감이 큼. 실수에 대한 Risk도 크고, 긴급한 일이 많이 발생함.

3) 온양 site가 있다는것 자체가 불만 --> 이 이유로 DRAM PE 지원을 안하는 사람들이 많음."
화성	CL4	Q3	.
화성	CL4	Q3	"1) 업무 강도 차이 : 모제품의 업무 강도는 타 PJT 대비 배이상 차이가 있음. 매주 진행되는 제품회의 및 종합회의 등 회의체가 너무 많고 그때마다 계속적으로 자료 작성을 위한 긴급 업무가 지속 이어짐.

2) 팀의 위상 : 예전보다는 많이 올라갔지만, 아직까지 품질은 QA / 수율은 PA,PIE등이 주도권을 잡고 각종 평가 부터 결론까지 PE에서 진행하지만 마지막 공은 타팀으로 넘어가는 일이 아직도 많음"
화성	CL3	Q3	"1)부족한 보상 : 중요 PJT가 아니라서, 메인 업무가 아닌 서브 업무라서 성과 불인정 및 고과 차별 / PJT별 직급별 연차 고려하지 않은 PJT별 고과 나눔으로 인한 특정 PJT 인력 고과 차별,손해

2)근무 환경 : 무분별한 긴급 대응 요청으로 인한 무리한 납기 요구

3)조직문화 : 특정 PJT 위주로 돌아가는 업무 환경과 중요 업무 외 인력은 하청/소모품 취급"
화성	CL2	Q3	B/E Test 담당 부서의 한계 같습니다.
화성	CL3	Q3	"같은 제품을 담당하고 있는, 유관 부서 인력에게 질문을 하려고 했더니 그 팀은 이미  퇴근을 한 상태네요..

시간은 19시.. 우리는 저녁먹으로 가자고 하고 있는데.."
